[  691948ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (14180ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  696574ms] [INFO] [SAFA API] <- 200 GET /invoices (18805ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  697177ms] [INFO] [SAFA API] <- 200 GET /orders (19409ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  704506ms] [INFO] [SAFA API] <- 200 GET /products (26739ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  704507ms] [INFO] [SAFA API] <- 200 GET /auth/session (24712ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  704553ms] [INFO] [SAFA API] <- 200 GET /settings/connections (24754ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  704571ms] [INFO] [SAFA API] <- 200 GET /external-invoices (26797ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  707261ms] [INFO] [SAFA API] <- 200 GET /automation/status (27462ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  709712ms] [INFO] [SAFA API] <- 200 GET /jobs (29837ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  717515ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (37709ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  717578ms] [INFO] [SAFA API] <- 200 GET /settings (37779ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  717600ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (37803ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  719690ms] [INFO] [SAFA API] <- 200 GET /invoices (39892ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  722805ms] [INFO] [SAFA API] <- 200 GET /orders (43006ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  722806ms] [INFO] [SAFA API] <- 200 GET /products (43009ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  728656ms] [INFO] [SAFA API] <- 200 GET /external-invoices (48852ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512186ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T18:16:40.030Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512186ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T18:16:40.031Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512187ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T18:16:40.031Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512187ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T18:16:40.032Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512187ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T18:16:40.032Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512188ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T18:16:40.032Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512188ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T18:16:40.032Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512188ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T18:16:40.032Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512189ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T18:16:40.033Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512189ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T18:16:40.033Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512189ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T18:16:40.034Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18512192ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /, pathname: /, search: null, navigatedAt: 2026-06-23T18:16:40.036Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[18520288ms] [INFO] [SAFA API] <- 200 GET /orders (8094ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
